Ticket Number,Agent,Priority,Subject,Tags,Conversation Summary,processed_text
5663,101021676703.0,1,Model importer failure - Tetra Tech,"Import Model, Cintoo Cloud","Omar Zerhouni, I added the company name in the title (to distinguish somehow one ticket from others  | Ange Abou Omar Zerhouni Thanks guys, I will contact this customer | ​Hi Daniel,     Our team was notified of a failed model import that you tried uploading to Cintoo:   | Hi Nicholas,

I did figure out the issue and resolved it.


Best regards,
Daniel Voinescu

",omar zerhouni added company name title distinguish somehow one ticket others ange abou omar zerhouni thanks guys contact customer hi daniel team notified failed model import tried uploading cintoo hi nicholas figure issue resolved best regards daniel voinescu
5662,101021676703.0,1,Model importer fail - Goodyear,"Import Model, Cintoo Cloud","Omar Zerhouni, I added the company name in the title (to distinguish somehow one ticket from others  | Hi Jeremy,    We recieved another Cintoo model import failure for a file named: Delivery_Goodyear To | Interesting as I am not familiar with this file. I’d like to know more about who tried to import it  | Omar Zerhouni We may have the wrong contact for this model importer fail. Can we check the user who  | Oh yes, sorry Nicholas Czarnick. I double checked, I got a mismatch with the logs. the right user is | Omar Zerhouni No problem! I will follow up with Matthew from Goodyear, and let Jeremy (Disney) know  | Hi Jeremy,      My mistake, this was sent to the wrong email. Sorry about that, please disregard.    | Tickets with IDs 5688 is merged into this ticket. | Merged from ticket 5688  
      Subject: RE: Model importer fail - Disney  
      Description:  
 Ok | Hi Matt,    We were notified about a Cintoo model import failure for a file named: Delivery_Goodyear",omar zerhouni added company name title distinguish somehow one ticket others hi jeremy recieved another cintoo model import failure file named deliverygoodyear interesting familiar file id like know tried import omar zerhouni may wrong contact model importer fail check user oh yes sorry nicholas czarnick double checked got mismatch logs right user omar zerhouni problem follow matthew goodyear let jeremy disney know hi jeremy mistake sent wrong email sorry please disregard tickets ids merged ticket merged ticket subject model importer fail disney description ok hi matt notified cintoo model import failure file named deliverygoodyear
5661,101053189816.0,2,Saved model state when sharing views or changing view,"Cintoo Cloud, shared viewer","Hi Clinton,    Currently, there is no way to save the model state in views so it can be returned to  | Nicholas Czarnick I am wondering if you have any other ideas  | Martial, more request about being able to save the model visibility status when sharing a view | John Tapia This is a feature request.      Currently, the only ""model state"" that can be controled a | Hi Clinton,    Currently, the only ""model state"" that can be controled and persist is whether the en | Martial Marchesseau FYI to open this feature request  | Thank You, John appreciate the quick attention to the request. I will give the suggestions a try.
 | [CP-71] Save and restore the ""viewer state"" for any 3D viewer feature - Cintoo Portfolio - Jira Prod",hi clinton currently way save model state views returned nicholas czarnick wondering ideas martial request able save model visibility status sharing view john tapia feature request currently model state controled hi clinton currently model state controled persist whether en martial marchesseau fyi open feature request thank john appreciate quick attention request give suggestions try cp save restore viewer state viewer feature cintoo portfolio jira prod
5658,101037953612.0,2,FW: Subscription Cintoo,Billing,"Hi Daniel,     Invoice sent.  Follow-up sales updated  Orion extended - I'll wait for your return be",hi daniel invoice sent followup sales updated orion extended ill wait return
5657,101037953612.0,2,Tetra Tech Branding,Billing,"Jason DiSalvo      Hi Jason,      We have 2 subscriptions for Tetra Tech:  - One for 5000 scans + BC | Hello,
It is for the following account account manager: Anthony Saville-Dumais and will handle the  | Jason DiSalvo      Invoice sent  Follow-up sales adjusted -   Reminder created to avoid forgetting t",jason disalvo hi jason subscriptions tetra tech one scans bc hello following account account manager anthony savilledumais handle jason disalvo invoice sent followup sales adjusted reminder created avoid forgetting
5656,101026576803.0,1,Model Importer failure,"Cintoo Cloud, Import CAD Models, DWG","Hi Mark,    Wishing you a prosperous and happy new year 2024.     Our team was notified of an Model  | Hi Joao,

 

It was just a sample 2D floor plan that I was testing with.  I found another sample | Should we close the ticket  | done",hi mark wishing prosperous happy new year team notified model hi joao sample floor plan testing found another sample close ticket done
5655,101037953612.0,2,FW: Kesko,,"@Caroline Noel<mailto:caroline.noel@cintoo.com> – any idea what the MRR is for this for this month? | Hi,

The MRR will reach $11,049 which equals to 9 954.20€*1.11 (exchange rate used in the follow u | Simon ShawPetra Doucet      Hello   the increase for January has been billed - Next month will be bi | Thank you.


Rob Rasnic
Chief Sales Officer
[cid:image002.jpg@01DA503E.5F074F80]<https://d2y2wd",caroline noelmailtocarolinenoelcintoocom idea mrr month hi mrr reach equals exchange rate used follow u simon shawpetra doucet hello increase january billed next month bi thank rob rasnic chief sales officer cidimagejpgdaeffhttpsdywd
5652,101037953612.0,2,Mace - KOREC,Billing,"Daniel Chamorro      Hi Daniel,      I think Korec has all the necessary billing details to invoice  | They can just send us an invoice for the 20% referral fee and include the name of the customer in th | OK, thanks Rob.

Best regards,
Daniel




",daniel chamorro hi daniel think korec necessary billing details invoice send us invoice referral fee include name customer th ok thanks rob best regards daniel
5650,101021676703.0,1,DPR Construction - New Additional Plans,Plan Capacity,"Thomas Corvazier This is for DevOps ticket SRE-1855     Cyril Deguet One question I have is if we re | The plan will be in over-capacity, and indeed the only impact is that they won't be able to upload m | Nicholas Czarnick Won't they want to transfer some project from main plan to new plans? because Cold | Cyril Deguet Thanks for confirming!     João-Carlos Pereira Fialho I gave Caroline a heads up on the | Cyril Deguet Thomas Corvazier Do we know when we would be able to create the (5) new plans for DPR s | I just created the new 5 plans  [SRE-1855] - Jira (atlassian.net)  | Thomas Corvazier Thank you! I've confirmed with the customer that they see the update on their side,",thomas corvazier devops ticket sre cyril deguet one question plan overcapacity indeed impact wont able upload nicholas czarnick wont want transfer project main plan new plans cold cyril deguet thanks confirming joocarlos pereira fialho gave caroline heads cyril deguet thomas corvazier know would able create new plans dpr created new plans sre jira atlassiannet thomas corvazier thank ive confirmed customer see update side
5649,101037953612.0,2,FW: Completed: Complete with DocuSign: Owens Corning Add-OnProrated 6KYrCSDBCM.pdf,Billing,"Luis Graterol      Hi Luis,     tahnks for this order.  I have updated the follow-up sales & their s | Is there an update on this ticket  | Luis Graterol      Hi Luis,      Have you received any news from the customer? Do you know when we c | Luis Graterol Just wanted to check back on this ticket  | @chuck.grassley@cintoo.com      Thanks Chuck,     Invoice sent.     Can you check with the customer ",luis graterol hi luis tahnks order updated followup sales update ticket luis graterol hi luis received news customer know c luis graterol wanted check back ticket chuckgrassleycintoocom thanks chuck invoice sent check customer
5646,101026576803.0,1,Model Importer fail,"Cintoo Cloud, 3D DWG, Import CAD Models","Guten Tag Johann,    We got a message of error when you tried to import your 3D model in Cintoo   Fi | Guten Tag,

that’s the file i tried to upload.
Thanks


Mit freundlichen Grüßen / Best Regards | Omar Zerhouni Here attached is the DWG that the customer tried to import | Omar Zerhouni João-Carlos Pereira Fialho I wanted to see where we are at with this ticket  | Omar Zerhouni I am checking back on this ticket  | Hi John Tapia,  We didn't scope this ticket yet, as we informed user about it and the case didn't ha | Just wanted to check where we are at with the ticket and to see why the DWG File is failing to impor | As there is no update from the customer for a month now. We should close it until this issue happens",guten tag johann got message error tried import model cintoo fi guten tag thats file tried upload thanks mit freundlichen gren best regards omar zerhouni attached dwg customer tried import omar zerhouni joocarlos pereira fialho wanted see ticket omar zerhouni checking back ticket hi john tapia didnt scope ticket yet informed user case didnt ha wanted check ticket see dwg file failing impor update customer month close issue happens
5644,101053189816.0,2,Add Cintoo Users Via Mobile Browser,"permissions, Cintoo Cloud, Account","Hi Keaton,    As you stated this is on a Mobile Browser what operating system is your mobile using. ",hi keaton stated mobile browser operating system mobile using
5643,101053189816.0,2,Cintoo access problems,"Cintoo Cloud, Access","Hi Samantha,    I am checking to see if this is the first time logging into Cintoo? If so when reset | I successfully logged in last week but now it says my account is locked. I have checked my spam fold | Salomon Mayengue I am checking to see if the account is locked? Based on the users explanation | Nicholas Czarnick Just checking with you if there is a way to see if the client is locked out or is  | John Tapia Sorry I do not have a way to check if the client is locked out.  | Cyril Deguet Thomas Corvazier Just checking to see how is the person for this week supporting | Hi Samantha,    I am checking with the team on your account.       John Tapia  Technical Support Man | Hi Samantha,    ​Can you try again and reset the password        John Tapia  Technical Support Manag | John Tapia, did you get any feedback from Dev team? I didn't see any in the tickets … | Ange Abou Yes I spoke to Thomas and he states she locked her self out he provided the link and she w",hi samantha checking see first time logging cintoo reset successfully logged last week says account locked checked spam fold salomon mayengue checking see account locked based users explanation nicholas czarnick checking way see client locked john tapia sorry way check client locked cyril deguet thomas corvazier checking see person week supporting hi samantha checking team account john tapia technical support man hi samantha try reset password john tapia technical support manag john tapia get feedback dev team didnt see tickets ange abou yes spoke thomas states locked self provided link w
5641,101053189816.0,2,Invite new user to the Dashboard,"members, Cintoo Cloud","Hello again!

I managed to find the way, in the ""MEMBERS"" part.

If I get some problems I will c | John Tapia Customers finds the solution by  himself, so ticket could be closed. However, before clos | Hi Knut,    I am going to send you some links to help you more: https://help.cintoo.com/support/solu",hello managed find way members part get problems c john tapia customers finds solution ticket could closed however clos hi knut going send links help httpshelpcintoocomsupportsolu
5639,101037953612.0,2,Kahuna Signed Quote,Billing,"Hello Alex,        Can you resend me our quote? I cannot see our quote number.     Thanks,     Carol | Alex Galvan   Hello,     Invoice sent - follow-up sales adjusted     Cheers,     Caroline",hello alex resend quote see quote number thanks carol alex galvan hello invoice sent followup sales adjusted cheers caroline
5638,,2,manual alignment,"Alignment Tool, Cintoo Cloud, VIEWER-1151","Hi Jon,    Would you like to conduct a teams call so we can see what is going on       John Tapia  T | Sure. How about 22 minutes?

Get Outlook for iOS<https://aka.ms/o0ukef>
_________________________ | Hi Jon,    I will send the meeting request for 4:30pm PST my time I will send the invite       John  | Perfect

Get Outlook for iOS<https://aka.ms/o0ukef>
________________________________
 | After meeting with customer, issue seems to be specific to the ""Reference"" selection in the Manual A | Hi Jon,    Thanks for giving me access to your project. I was able to investigate further and determ | Martial Marchesseau Leonardo Hidd Fonteles Guillaume Hercod Possible bug with the Alignment Tool to  | Thanks Nick, we will check this  | Claire Onidi Mathieu Notheber I share the Freshdesk ticket with you to get the steps to reproduce fr | Jira issue status changed to Dev Review -(Mathieu Notheber) added this comment | Jira issue status changed to Ready -(Adrien Berthet) added this comment | Jira issue status changed to In Progress -(Adrien Berthet) added this comment | Jira issue status changed to Code Review -(Automation for Jira) added this comment | Jira issue status changed to QA Validation -(Adrien Berthet) added this comment | Jira issue status changed to To be Integrated -(Claire Onidi) added this comment | Jira issue status changed to In Dev -(Automation for Jira) added this comment | Jira issue status changed to Validated -(Claire Onidi) added this comment | Jira issue status changed to Closed -(Cintoo Bot) added this comment | Hi Jon,    Our development team has implemented a fix for the Alignment Tool issues. We appreciate y",hi jon would like conduct teams call see going john tapia sure minutes get outlook ioshttpsakamsoukef hi jon send meeting request pm pst time send invite john perfect get outlook ioshttpsakamsoukef meeting customer issue seems specific reference selection manual hi jon thanks giving access project able investigate determ martial marchesseau leonardo hidd fonteles guillaume hercod possible bug alignment tool thanks nick check claire onidi mathieu notheber share freshdesk ticket get steps reproduce fr jira issue status changed dev review mathieu notheber added comment jira issue status changed ready adrien berthet added comment jira issue status changed progress adrien berthet added comment jira issue status changed code review automation jira added comment jira issue status changed qa validation adrien berthet added comment jira issue status changed integrated claire onidi added comment jira issue status changed dev automation jira added comment jira issue status changed validated claire onidi added comment jira issue status changed closed cintoo bot added comment hi jon development team implemented fix alignment tool issues appreciate
5637,101037953612.0,2,CG3D Renewal,Billing,"Alex Galvan      Hello,     Invoice sent  Follow-up sales adjusted   Orion extended to be downgraded | Hello  Subscription downgraded to 1,000 scans",alex galvan hello invoice sent followup sales adjusted orion extended downgraded hello subscription downgraded scans
5633,101026576803.0,2,Hogeweide brug; full control,"Cintoo Cloud, Move projects, AEC-5626","Hi Marcel,    I can't give you the ownership has this project is on my account.  I will ask if the p | Tatiana Samusina Hello Tatiana. Can you move the following project  Hogeweidebrug   https://aec.cint | Olivier Beltrando  | Jira issue status changed to Write Spec -(Olivier Beltrando) added this comment | Jira issue status changed to Dev Review -(Olivier Beltrando) added this comment | Jira issue status changed to Ready -(Olivier Beltrando) added this comment | Jira issue status changed to In Progress -(Olivier Beltrando) added this comment | Jira issue status changed to Pending -(Olivier Beltrando) added this comment | Hi João-Carlos Pereira Fialho , Tatiana Samusina ,  Queries are ready for DevOps team for review and | Jira issue status changed to In Progress -(Thomas Corvazier) added this comment | Jira issue status changed to In Review -(Thomas Corvazier) added this comment | Hi João-Carlos Pereira Fialho , Tatiana Samusina ,  Commands have been performed by the DevOps team. | Jira issue status changed to Closed -(Olivier Beltrando) added this comment | Hi Marcel,    You should have now the project hogeweide brug into your account, and you should be ab | Hi Carlos

Yes it works!

Kind regards,
Marcel Ghidini

Verzonden vanaf Outlook voor Android<",hi marcel cant give ownership project account ask p tatiana samusina hello tatiana move following project hogeweidebrug httpsaeccint olivier beltrando jira issue status changed write spec olivier beltrando added comment jira issue status changed dev review olivier beltrando added comment jira issue status changed ready olivier beltrando added comment jira issue status changed progress olivier beltrando added comment jira issue status changed pending olivier beltrando added comment hi joocarlos pereira fialho tatiana samusina queries ready devops team review jira issue status changed progress thomas corvazier added comment jira issue status changed review thomas corvazier added comment hi joocarlos pereira fialho tatiana samusina commands performed devops team jira issue status changed closed olivier beltrando added comment hi marcel project hogeweide brug account ab hi carlos yes works kind regards marcel ghidini verzonden vanaf outlook voor android
5630,101026576803.0,2,RE: [External] Cintoo Cloud Free Trial,"Cintoo Cloud, 3D View , 3D Model","Hi Hayder,    Can you give me access to your project (joao.fialho@cintoo.com as BIM/VDC manager) to ",hi hayder give access project joaofialhocintoocom bimvdc manager
5627,101021676710.0,2,"3D View ""Wizard"" Tool","wizard, Cintoo Cloud","Dom, Martial, just to let you know that some Toyota persons are wondering if removal of the wizard i | Hi Andrew,  
   
   
   Yes, we have decided to remove the wizard for now, the way it was implemente | •• PROTECTED 関係者外秘

Leonardo,

I understand the situation.  Thank you for the information.

Re | The help information (from the old wizard) are back in the Knowledge Base. It can now be accessible  | Hi Andrew,    The help information (from the old wizard) are back in the Knowledge Base. It can now ",dom martial let know toyota persons wondering removal wizard hi andrew yes decided remove wizard way implemente protected leonardo understand situation thank information help information old wizard back knowledge base accessible hi andrew help information old wizard back knowledge base
5626,101021676708.0,2,rte-jump.cintoo.cloud - Token api cintoo,"Login, Cintoo API","João-Carlos Pereira Fialho I will assign the ticket to you | Ange Abou Olivier Beltrando Hello, who can help this customer on connecting to API? Thks | The customer is RTE. They have custom branding (https://rte-jump.cintoo.cloud/) | Hi Joao, I will proceed.  | Bonjour Paco,     Joao m'a transmis votre question sur Cintoo API.  Merci pour votre initiative d'ut",joocarlos pereira fialho assign ticket ange abou olivier beltrando hello help customer connecting api thks customer rte custom branding httpsrtejumpcintoocloud hi joao proceed bonjour paco joao transmis votre question sur cintoo api merci pour votre initiative dut
5623,101026576803.0,2,Issue to import dwg into Cintoo platform,"Cintoo Cloud, 3D DWG, Import CAD Models","Just FYI on this ticket  | Leonardo Hidd Fonteles Omar Zerhouni We got now SIEMENS ENERGY customer who starts to be ""angry"" (se | Hi João-Carlos Pereira Fialho      I have a (hopefully) good news. The models are working in our dev | Omar Zerhouni Thks can we have a more precise date as the customer needs to upload these files ASAP | If all the tests succeed, we are hoping for a release before 2nd February.     I asked QA to priorit | Hi Naveen,    Our team founds the issues. The fix is on QA phase, if all goes well it should be avai | Hi Naveen,     In order to hellp you in getting your files to Cintoo until we release the fix,  Here | Out of office

 | Hi João-Carlos Pereira Fialho   As promised, we released the new version of Model Importer before th | Hi Naveen,    Finally, we release the new import DWG from Disk in production, so your DWG files shal",fyi ticket leonardo hidd fonteles omar zerhouni got siemens energy customer starts angry se hi joocarlos pereira fialho hopefully good news models working dev omar zerhouni thks precise date customer needs upload files asap tests succeed hoping release nd february asked qa priorit hi naveen team founds issues fix qa phase goes well avai hi naveen order hellp getting files cintoo release fix office hi joocarlos pereira fialho promised released new version model importer th hi naveen finally release new import dwg disk production dwg files shal
5621,101026576803.0,2,Manual alignment tool - difference between ACC alignment and Cintoo alignment,"Cintoo Cloud, Align Scan & BIM","Hi Lars,     First of all, best wishes and happy new year 2024.     Could you give me access to your | Hi Skander. I got exactly the same issue last week when trying to align with the scans one NWD model | Hi João,

Best wishes to you as well!

I have added you to the specific workzone that is affecte | John Tapia I have exchanged fles and get access to customer project. I was able to align the models.",hi lars first best wishes happy new year could give access hi skander got exactly issue last week trying align scans one nwd model hi joo best wishes well added specific workzone affecte john tapia exchanged fles get access customer project able align models
5616,101026576803.0,2,Cintoo Comment Exports with Coordinates,"Cintoo Cloud, Reports, Annotations","Leonardo Hidd Fonteles I wanted to send this to a PM, as it has already been requested by other cust | Hi Aaron,     ​It is not yet possible.  ​However we take your request, and I will ask to the Dev tea | Thank you for looking into it an answering!

Have a great day
Aaron



AaronHunt
Senior Engi | Can so
Wine assist Aaron on his request below?

Thx.

Rob Rasnic

Chief Sales Officer

Cint | Let me know what the status of this ticket | This is a feature request Martial Marchesseau  | Idea added [CP-198] Export project report as CSV - Cintoo Portfolio - Jira Product Discovery (atlass",leonardo hidd fonteles wanted send pm already requested cust hi aaron yet possible however take request ask dev tea thank looking answering great day aaron aaronhunt senior engi wine assist aaron request thx rob rasnic chief sales officer cint let know status ticket feature request martial marchesseau idea added cp export project report csv cintoo portfolio jira product discovery atlass
5613,101017248884.0,2,INC0697470 || Ivanti Connect Secure VPN,security,"John Tapia, why do you think it's spam? ... e-mail domain admtl.com is from the customer ""Aéroport d | Ange Abou John Tapia yes of course it's not spam ;) ADM often get back to us when a new vulnerabilit | Bonjour  ​   Je vous confirme que Cintoo n'utilise pas Ivanti     Cordialement         Cyril DEGUET ",john tapia think spam email domain admtlcom customer aroport ange abou john tapia yes course spam adm often get back us new vulnerabilit bonjour je vous confirme que cintoo nutilise pas ivanti cordialement cyril deguet
5612,101037953612.0,2,VTEK Renewal,Billing,"Alex Galvan      Hello,     Invoice sent   Follow-up adjusted",alex galvan hello invoice sent followup adjusted
5610,101053189816.0,2,FARO Ordered FLS Scans from FARO M70 + PANO CAM not uploading to CINTOO,"Cintoo Connect, FLS, Import Structured Scans","Hi Adam,    It seems you have 2 tickets open one for uploading and another for exporting. I would to | John Tapia it is the same ticket send 2 times by the customer. It doesn't concern import.  Only impo | John Tapia The workaround is in the last reply of ticket https://help.cintoo.com/a/tickets/5414  We  | João-Carlos Pereira Fialho If I understand correctly, the workaround is to export structured E57 fro | In fact, they are using a new function in Faro Scene, called PanoCam, where you create a new ""scan p | Good to know, thanks!",hi adam seems tickets open one uploading another exporting would john tapia ticket send times customer doesnt concern import impo john tapia workaround last reply ticket httpshelpcintoocomatickets joocarlos pereira fialho understand correctly workaround export structured e fro fact using new function faro scene called panocam create new scan p good know thanks
5609,101053189816.0,2,FARO Ordered FLS Scans from FARO M70 + PANO CAM not uploading to CINTOO,"Cintoo Connect, FLS","Hi Adam,    Can you provide me the messages tab in Cintoo Connect and let me know if there are any e | [cid:image001.png@01DA4ACE.73B0DCA0]

Adam Guadagnoli
CAD Designer
Arcadis Professional Services | Hi Adam,    Thanks for that information in them messages tab can you send me a screenshot as well    | [cid:image001.png@01DA4ACF.0E4F88B0]

Adam Guadagnoli
CAD Designer
Arcadis Professional Services | Hi Adam,    Adam can you provide access to the scans as well as the project for us to further invest | Hi Adam,    Here is my email and also can you Nicholas a collegue of mine that will also help me wit | Hi Adam,    You can upload the files here:Ticket 5609 this way we can see what is going on.       Jo | Nicholas Czarnick Hey Nick if you get a chance to see if you can help me with this.  | John Tapia Customer should try exporting structured E57 from Faro SCENE using these steps: Generate  | Hi Adam,    Please try the following:     Try exporting structured E57 from Faro SCENE using these s",hi adam provide messages tab cintoo connect let know e cidimagepngdaacebdca adam guadagnoli cad designer arcadis professional services hi adam thanks information messages tab send screenshot well cidimagepngdaacfefb adam guadagnoli cad designer arcadis professional services hi adam adam provide access scans well project us invest hi adam email also nicholas collegue mine also help wit hi adam upload files hereticket way see going jo nicholas czarnick hey nick get chance see help john tapia customer try exporting structured e faro scene using steps generate hi adam please try following try exporting structured e faro scene using
5606,101026576803.0,2,Bitte um Freigabe für das Projekt BASF Ludwigshafen.,"Cintoo Cloud, Projects","João-Carlos Pereira Fialho Leonardo Hidd Fonteles Ange Abou Any working with some on this request? R | John, Siemens Energy is followed up by João and Petra. I don't have info on what is this request abo | Leonardo Hidd Fonteles John Tapia I will reply to him.  Don't know exactly what's about, but I'm sus | Hi Thomas,    If you need access to Ludwigshafen project on Cintoo, you need to request the access t",joocarlos pereira fialho leonardo hidd fonteles ange abou working request r john siemens energy followed joo petra dont info request abo leonardo hidd fonteles john tapia reply dont know exactly whats im sus hi thomas need access ludwigshafen project cintoo need request access
5605,101053189816.0,2,Range Filtering on Annotations,"Cintoo Cloud, Scan Sprites","Hi Warren,    Not an issue I will create this feature request for you        John Tapia  Technical S | Hi Warren,    Thank you for submitting your feature request for ""Display Range Filtering for Annotat | Hi Martial Marchesseau, an idea for JPD for you. Cheers | Idea created [CP-92] Range filtering for all sprites - Cintoo Portfolio - Jira Product Discovery (at | Ange Abou Since this is a suggestion I believe we should close the ticket | Yes, we can close it. We have no ETA yet. ",hi warren issue create feature request john tapia technical hi warren thank submitting feature request display range filtering annotat hi martial marchesseau idea jpd cheers idea created cp range filtering sprites cintoo portfolio jira product discovery ange abou since suggestion believe close ticket yes close eta yet
5604,101021676713.0,2,FW: Whirlpool Cintoo Access Issue,,"Hi Brendan,    I do not believe we have made any changes on our end and I have not seen any log in i | This is what I get, with no request to sign into Whirlpool like I used to:

[image: image.png]

 | Steven,

Nevermind, I think I figured it out.  There was a firewall issue when I was
in one of fa | Hi Brendan,    Understood. Thanks for letting me know. I will close the ticket. If this issue comes ",hi brendan believe made changes end seen log get request sign whirlpool like used image imagepng steven nevermind think figured firewall issue one fa hi brendan understood thanks letting know close ticket issue comes
